movie_title,duration
Batman v Superman: Dawn of Justice ,183
Avatar ,178
The Avengers ,173
Superman Returns ,169
Pirates of the Caribbean: At World's End ,169
The Dark Knight Rises ,164
Spider-Man 3 ,156
Harry Potter and the Half-Blood Prince ,153
Pirates of the Caribbean: Dead Man's Chest ,151
The Chronicles of Narnia: Prince Caspian ,150
The Lone Ranger ,150
Spectre ,148
Man of Steel ,143
Avengers: Age of Ultron ,141
Pirates of the Caribbean: On Stranger Tides ,136
John Carter ,132
Quantum of Solace ,106
Tangled ,100
Star Wars: Episode VII - The Force Awakens             ,
