movie_title,duration
The Lone Ranger ,150
The Dark Knight Rises ,164
The Chronicles of Narnia: Prince Caspian ,150
The Avengers ,173
Tangled ,100
Superman Returns ,169
Star Wars: Episode VII - The Force Awakens             ,
Spider-Man 3 ,156
Spectre ,148
Quantum of Solace ,106
Pirates of the Caribbean: On Stranger Tides ,136
Pirates of the Caribbean: Dead Man's Chest ,151
Pirates of the Caribbean: At World's End ,169
Man of Steel ,143
John Carter ,132
Harry Potter and the Half-Blood Prince ,153
Batman v Superman: Dawn of Justice ,183
Avengers: Age of Ultron ,141
Avatar ,178
