movie_title,duration
Avatar ,178
Avengers: Age of Ultron ,141
Batman v Superman: Dawn of Justice ,183
Harry Potter and the Half-Blood Prince ,153
John Carter ,132
Man of Steel ,143
Pirates of the Caribbean: At World's End ,169
Pirates of the Caribbean: Dead Man's Chest ,151
Pirates of the Caribbean: On Stranger Tides ,136
Quantum of Solace ,106
Spectre ,148
Spider-Man 3 ,156
Star Wars: Episode VII - The Force Awakens             ,
Superman Returns ,169
Tangled ,100
The Avengers ,173
The Chronicles of Narnia: Prince Caspian ,150
The Dark Knight Rises ,164
The Lone Ranger ,150
