time,latitude,longitude,depth,mag,mag_type,nst,gap,dmin,rms,net,id,updated,place,type,horizontal_error,depth_error,mag_error,mag_nst,status,location_source,mag_source
2021-01-13T02:40:45.410Z,32.743,-115.825,7.53,1.58,ml,24,60,0.1251,0.2,ci,ci39755576,2021-01-13T02:51:48.180Z,"16km E of Ocotillo, CA",earthquake,0.36,1.03,0.167,30,automatic,ci,ci
2021-01-13T02:29:20.140Z,35.887,-117.7111667,7.29,0.75,ml,14,66,0.07828,0.11,ci,ci39755568,2021-01-13T02:33:02.826Z,"18km ESE of Little Lake, CA",earthquake,0.25,0.75,0.178,12,automatic,ci,ci
2021-01-13T02:21:52.433Z,59.9399,-153.3,143.5,1.7,ml,,,,1.17,ak,ak021ljazpu,2021-01-13T02:25:41.169Z,"48 km ENE of Pedro Bay, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-01-13T02:18:53.875Z,60.9257,-152.5483,119.2,1.7,ml,,,,0.8,ak,ak021ljaco5,2021-01-13T02:27:21.481Z,"73 km WNW of Nikiski, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-01-13T02:06:58.210Z,35.8278333,-117.664,6.02,1.01,ml,13,106,0.05537,0.13,ci,ci39755552,2021-01-13T02:10:37.695Z,"23km N of Ridgecrest, CA",earthquake,0.32,0.88,0.21,12,automatic,ci,ci
2021-01-13T02:01:32.490Z,38.3841667,-122.2041702,3.63,2.07,md,21,73,0.06714,0.31,nc,nc73510225,2021-01-13T02:24:05.217Z,"12km NE of Napa, CA",earthquake,0.56,2.56,0.04,15,automatic,nc,nc
2021-01-13T01:39:28.957Z,19.4508,145.3781,194.47,4.7,mb,,101,4.212,0.63,us,us6000d7ws,2021-01-13T01:57:52.040Z,"Maug Islands region, Northern Mariana Islands",earthquake,11,7.7,0.039,196,reviewed,us,us
2021-01-13T01:36:41.410Z,38.1677,-118.0548,10,1.4,ml,20,148.84,0.031,0.11,nn,nn00797023,2021-01-13T01:39:59.672Z,"25 km S of Mina, Nevada",earthquake,,1.4,,,automatic,nn,nn
2021-01-13T01:26:30.460Z,37.9259987,-122.2883301,10.46,2.14,md,53,27,0.03602,0.06,nc,nc73510215,2021-01-13T02:39:19.403Z,"2km NNW of Kensington, CA",earthquake,0.14,0.29,0.15,44,automatic,nc,nc
2021-01-13T01:18:14.240Z,32.7476667,-115.815,8.06,1.41,ml,18,64,0.1233,0.19,ci,ci39755520,2021-01-13T01:21:45.917Z,"17km E of Ocotillo, CA",earthquake,0.39,1.76,0.263,17,automatic,ci,ci
2021-01-13T01:14:53.870Z,38.8346672,-122.7851639,1.63,0.95,md,23,65,0.005507,0.02,nc,nc73510205,2021-01-13T01:30:04.422Z,"6km WNW of Cobb, CA",earthquake,0.2,0.35,0.11,3,automatic,nc,nc
2021-01-13T01:11:32.080Z,36.222168,-120.7976685,8.6,1.53,md,12,168,0.006894,0.08,nc,nc73510200,2021-01-13T01:24:04.385Z,"22km ENE of San Lucas, CA",earthquake,0.63,1.12,0.24,6,automatic,nc,nc
2021-01-13T01:11:22.964Z,2.4845,-79.8572,10,4.7,mb,,133,2.637,1.09,us,us6000d7wm,2021-01-13T01:29:35.040Z,"141 km WNW of Tumaco, Colombia",earthquake,8.1,1.9,0.048,132,reviewed,us,us
2021-01-13T00:58:40.288Z,60.0629,-151.7909,54.2,1.7,ml,,,,0.62,ak,ak021lic125,2021-01-13T01:04:01.807Z,"6 km WNW of Ninilchik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-01-13T00:48:31.057Z,64.9136,-151.3477,4.6,1.8,ml,,,,1.02,ak,ak021li9v7e,2021-01-13T01:02:21.345Z,"35 km WSW of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-01-13T00:47:41.470Z,37.5133333,-118.8371667,6.29,0.88,md,11,238,0.07683,0.03,nc,nc73510180,2021-01-13T01:08:04.263Z,"15km WSW of Toms Place, CA",earthquake,0.78,1.25,0.179,10,reviewed,nc,nc
2021-01-13T00:37:13.306Z,60.1288,-140.9033,0,2.1,ml,,,,0.58,ak,ak021li7gxt,2021-01-13T00:43:49.006Z,"92 km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-01-13T00:24:48.150Z,35.3661667,-117.8656667,7.86,1.39,ml,22,85,0.09985,0.18,ci,ci39755504,2021-01-13T00:28:29.796Z,"21km W of Johannesburg, CA",earthquake,0.35,1.11,0.141,26,automatic,ci,ci
2021-01-13T00:23:24.110Z,61.4758,-149.9296,34.5,1.5,ml,,,,0.63,ak,ak021li4hqz,2021-01-13T00:26:16.730Z,"5 km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
